IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
156.251.248.176,51350,true,HKG,Asia Pacific,Hong Kong,40 ms,14932 kB/s
103.20.222.200,28577,true,HKG,Asia Pacific,Hong Kong,36 ms,11695 kB/s
43.229.154.114,25744,true,SIN,Asia Pacific,Singapore,38 ms,10725 kB/s
43.229.154.113,13944,true,HKG,Asia Pacific,Hong Kong,38 ms,10314 kB/s
199.15.76.35,443,true,HKG,Asia Pacific,Hong Kong,88 ms,10240 kB/s
202.81.237.150,9999,true,HKG,Asia Pacific,Hong Kong,42 ms,9598 kB/s
103.234.53.2,9003,true,HKG,Asia Pacific,Hong Kong,37 ms,9256 kB/s
37.123.196.14,27783,true,HKG,Asia Pacific,Hong Kong,64 ms,9252 kB/s
34.96.173.241,10000,true,HKG,Asia Pacific,Hong Kong,38 ms,9107 kB/s
156.251.180.17,36129,true,HKG,Asia Pacific,Hong Kong,39 ms,8733 kB/s
103.20.223.53,34515,true,HKG,Asia Pacific,Hong Kong,41 ms,8717 kB/s
38.147.168.216,9999,true,HKG,Asia Pacific,Hong Kong,41 ms,8586 kB/s
23.225.64.152,443,true,HKG,Asia Pacific,Hong Kong,40 ms,8584 kB/s
103.225.199.146,50009,true,HKG,Asia Pacific,Hong Kong,36 ms,8291 kB/s
103.235.18.218,10196,true,HKG,Asia Pacific,Hong Kong,39 ms,8198 kB/s
34.150.69.245,443,true,HKG,Asia Pacific,Hong Kong,60 ms,8171 kB/s
8.210.151.69,2083,true,HKG,Asia Pacific,Hong Kong,35 ms,7893 kB/s
103.234.53.2,20000,true,HKG,Asia Pacific,Hong Kong,48 ms,7786 kB/s
45.78.16.43,18076,true,HKG,Asia Pacific,Hong Kong,39 ms,7667 kB/s
8.218.127.249,2087,true,HKG,Asia Pacific,Hong Kong,36 ms,7292 kB/s
13.72.195.16,10443,true,HKG,Asia Pacific,Hong Kong,89 ms,6682 kB/s
20.239.69.52,8443,true,HKG,Asia Pacific,Hong Kong,91 ms,6411 kB/s
47.243.162.49,2083,true,HKG,Asia Pacific,Hong Kong,38 ms,6325 kB/s
47.243.162.49,2053,true,HKG,Asia Pacific,Hong Kong,38 ms,6087 kB/s
202.81.232.199,47910,true,HKG,Asia Pacific,Hong Kong,47 ms,5969 kB/s
38.147.168.216,9999,true,SIN,Asia Pacific,Singapore,40 ms,5631 kB/s
103.118.244.200,20001,true,HKG,Asia Pacific,Hong Kong,71 ms,5495 kB/s
8.217.125.68,56111,true,HKG,Asia Pacific,Hong Kong,34 ms,5310 kB/s
35.215.185.127,8443,true,HKG,Asia Pacific,Hong Kong,39 ms,5295 kB/s
45.11.46.77,34237,true,HKG,Asia Pacific,Hong Kong,60 ms,5123 kB/s
103.225.199.146,58588,true,HKG,Asia Pacific,Hong Kong,40 ms,5007 kB/s
154.9.246.188,18859,true,SIN,Asia Pacific,Singapore,72 ms,4811 kB/s
38.47.102.139,8006,true,HKG,Asia Pacific,Hong Kong,76 ms,4750 kB/s
38.47.106.137,20412,true,HKG,Asia Pacific,Hong Kong,40 ms,4657 kB/s
5.253.16.11,10006,true,HKG,Asia Pacific,Hong Kong,40 ms,4577 kB/s
5.253.16.11,10004,true,HKG,Asia Pacific,Hong Kong,42 ms,4576 kB/s
8.218.127.249,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,4537 kB/s
103.235.18.251,10005,true,HKG,Asia Pacific,Hong Kong,41 ms,4478 kB/s
13.72.195.16,10443,true,HKG,Asia Pacific,Hong Kong,88 ms,4404 kB/s
47.243.162.49,2083,true,HKG,Asia Pacific,Hong Kong,37 ms,4290 kB/s
47.243.130.69,6443,true,HKG,Asia Pacific,Hong Kong,41 ms,4277 kB/s
8.217.235.138,34237,true,HKG,Asia Pacific,Hong Kong,37 ms,4222 kB/s
8.218.228.59,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,4194 kB/s
47.242.187.200,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,4169 kB/s
8.218.27.203,34237,true,HKG,Asia Pacific,Hong Kong,45 ms,4168 kB/s
8.210.220.19,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,4159 kB/s
47.243.227.209,62001,true,HKG,Asia Pacific,Hong Kong,39 ms,4151 kB/s
154.3.35.218,20443,true,HKG,Asia Pacific,Hong Kong,73 ms,4102 kB/s
103.234.53.181,8443,true,HKG,Asia Pacific,Hong Kong,38 ms,4072 kB/s
152.32.190.239,4431,true,HKG,Asia Pacific,Hong Kong,33 ms,4067 kB/s
8.218.108.202,34237,true,HKG,Asia Pacific,Hong Kong,37 ms,4056 kB/s
149.62.47.96,27002,true,HKG,Asia Pacific,Hong Kong,72 ms,4033 kB/s
8.217.16.173,55387,true,HKG,Asia Pacific,Hong Kong,33 ms,3992 kB/s
47.243.86.79,2087,true,HKG,Asia Pacific,Hong Kong,42 ms,3957 kB/s
47.243.172.103,55041,true,HKG,Asia Pacific,Hong Kong,38 ms,3940 kB/s
103.103.245.184,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,3875 kB/s
194.156.133.107,4443,true,HKG,Asia Pacific,Hong Kong,38 ms,3833 kB/s
45.11.46.77,34237,true,HKG,Asia Pacific,Hong Kong,63 ms,3833 kB/s
5.253.16.149,9529,true,HKG,Asia Pacific,Hong Kong,37 ms,3801 kB/s
47.242.236.164,34237,true,HKG,Asia Pacific,Hong Kong,39 ms,3759 kB/s
8.210.155.0,34237,true,HKG,Asia Pacific,Hong Kong,32 ms,3719 kB/s
47.240.81.219,2005,true,HKG,Asia Pacific,Hong Kong,38 ms,3674 kB/s
47.243.86.79,2083,true,SIN,Asia Pacific,Singapore,72 ms,3673 kB/s
47.242.75.183,34237,true,HKG,Asia Pacific,Hong Kong,37 ms,3670 kB/s
8.218.136.67,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,3655 kB/s
8.210.155.0,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,3614 kB/s
47.242.236.164,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,3585 kB/s
47.243.162.49,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,3490 kB/s
47.243.162.49,8443,true,HKG,Asia Pacific,Hong Kong,35 ms,3439 kB/s
8.210.105.217,55213,true,HKG,Asia Pacific,Hong Kong,40 ms,3409 kB/s
8.218.178.2,20001,true,SIN,Asia Pacific,Singapore,77 ms,3376 kB/s
47.242.75.110,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,3357 kB/s
47.76.59.121,3306,true,HKG,Asia Pacific,Hong Kong,38 ms,3301 kB/s
45.144.137.223,19214,true,HKG,Asia Pacific,Hong Kong,43 ms,3251 kB/s
47.243.190.108,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,3247 kB/s
103.235.18.206,10008,true,HKG,Asia Pacific,Hong Kong,37 ms,3230 kB/s
5.253.16.149,9529,true,HKG,Asia Pacific,Hong Kong,48 ms,3186 kB/s
223.122.116.37,4434,true,HKG,Asia Pacific,Hong Kong,44 ms,2914 kB/s
8.217.121.219,49025,true,NRT,Asia Pacific,Tokyo,30 ms,2868 kB/s
38.47.100.41,9000,true,HKG,Asia Pacific,Hong Kong,79 ms,2814 kB/s
103.48.169.191,697,true,HKG,Asia Pacific,Hong Kong,39 ms,2742 kB/s
156.251.217.28,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,2712 kB/s
47.75.101.0,3443,true,HKG,Asia Pacific,Hong Kong,38 ms,2708 kB/s
8.210.42.1,34237,true,HKG,Asia Pacific,Hong Kong,39 ms,2679 kB/s
47.242.106.213,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,2658 kB/s
203.184.131.45,8085,true,HKG,Asia Pacific,Hong Kong,49 ms,2627 kB/s
61.239.247.94,14265,true,HKG,Asia Pacific,Hong Kong,40 ms,2619 kB/s
47.243.86.79,2053,true,SIN,Asia Pacific,Singapore,72 ms,2619 kB/s
45.136.15.230,52077,true,SIN,Asia Pacific,Singapore,44 ms,2450 kB/s
20.24.93.137,443,true,HKG,Asia Pacific,Hong Kong,98 ms,2414 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,36 ms,2390 kB/s
8.217.229.36,43801,true,HKG,Asia Pacific,Hong Kong,41 ms,2353 kB/s
47.243.162.49,2087,true,HKG,Asia Pacific,Hong Kong,36 ms,2347 kB/s
38.47.100.197,443,true,HKG,Asia Pacific,Hong Kong,77 ms,2322 kB/s
47.242.36.111,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,2260 kB/s
223.122.34.65,27465,true,HKG,Asia Pacific,Hong Kong,49 ms,2169 kB/s
61.92.171.170,10681,true,HKG,Asia Pacific,Hong Kong,40 ms,2112 kB/s
103.235.18.229,10189,true,HKG,Asia Pacific,Hong Kong,39 ms,2067 kB/s
8.218.69.90,18351,true,HKG,Asia Pacific,Hong Kong,38 ms,2044 kB/s
223.122.38.145,26036,true,HKG,Asia Pacific,Hong Kong,46 ms,2029 kB/s
