IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
46.51.223.175,36099,true,SIN,Asia Pacific,Singapore,73 ms,11285 kB/s
172.188.81.212,2053,true,SIN,Asia Pacific,Singapore,71 ms,8588 kB/s
8.222.208.38,8443,true,SIN,Asia Pacific,Singapore,73 ms,7666 kB/s
8.222.180.242,2096,true,SIN,Asia Pacific,Singapore,67 ms,7554 kB/s
8.219.103.254,2083,true,SIN,Asia Pacific,Singapore,70 ms,7392 kB/s
8.222.187.4,2087,true,SIN,Asia Pacific,Singapore,66 ms,7245 kB/s
54.169.121.88,39051,true,SIN,Asia Pacific,Singapore,66 ms,7180 kB/s
8.222.197.251,443,true,SIN,Asia Pacific,Singapore,96 ms,7144 kB/s
8.222.211.16,2096,true,SIN,Asia Pacific,Singapore,73 ms,7108 kB/s
8.222.214.13,2053,true,SIN,Asia Pacific,Singapore,71 ms,6854 kB/s
8.222.244.123,2083,true,SIN,Asia Pacific,Singapore,72 ms,6829 kB/s
8.219.151.193,2053,true,SIN,Asia Pacific,Singapore,64 ms,6826 kB/s
8.219.64.44,8443,true,SIN,Asia Pacific,Singapore,75 ms,6816 kB/s
54.179.253.222,443,true,SIN,Asia Pacific,Singapore,67 ms,6796 kB/s
8.222.253.235,8443,true,SIN,Asia Pacific,Singapore,62 ms,6630 kB/s
8.222.137.192,2096,true,SIN,Asia Pacific,Singapore,67 ms,6472 kB/s
8.222.241.42,2053,true,SIN,Asia Pacific,Singapore,74 ms,6453 kB/s
8.222.210.182,2053,true,SIN,Asia Pacific,Singapore,65 ms,6452 kB/s
8.222.221.109,443,true,SIN,Asia Pacific,Singapore,77 ms,6418 kB/s
8.222.214.231,2096,true,SIN,Asia Pacific,Singapore,78 ms,6410 kB/s
52.74.52.195,888,true,SIN,Asia Pacific,Singapore,62 ms,6400 kB/s
8.222.226.72,2053,true,SIN,Asia Pacific,Singapore,65 ms,6395 kB/s
8.222.249.98,443,true,SIN,Asia Pacific,Singapore,62 ms,6377 kB/s
8.222.221.163,8443,true,SIN,Asia Pacific,Singapore,64 ms,6317 kB/s
8.219.198.139,8443,true,SIN,Asia Pacific,Singapore,69 ms,6312 kB/s
8.222.226.72,2083,true,SIN,Asia Pacific,Singapore,75 ms,6272 kB/s
8.222.212.219,443,true,SIN,Asia Pacific,Singapore,67 ms,6268 kB/s
8.219.107.180,2083,true,SIN,Asia Pacific,Singapore,133 ms,6258 kB/s
8.222.162.31,2083,true,SIN,Asia Pacific,Singapore,69 ms,6223 kB/s
8.222.223.34,2053,true,SIN,Asia Pacific,Singapore,67 ms,6177 kB/s
13.213.64.211,42139,true,SIN,Asia Pacific,Singapore,75 ms,6165 kB/s
8.222.226.15,443,true,SIN,Asia Pacific,Singapore,70 ms,6106 kB/s
8.219.142.30,8443,true,SIN,Asia Pacific,Singapore,74 ms,6030 kB/s
34.143.148.84,443,true,SIN,Asia Pacific,Singapore,70 ms,5999 kB/s
8.222.152.3,2087,true,SIN,Asia Pacific,Singapore,70 ms,5871 kB/s
8.222.138.164,443,true,SIN,Asia Pacific,Singapore,69 ms,5836 kB/s
8.219.42.72,2083,true,SIN,Asia Pacific,Singapore,72 ms,5816 kB/s
8.219.210.64,2087,true,SIN,Asia Pacific,Singapore,71 ms,5649 kB/s
8.222.198.105,2053,true,SIN,Asia Pacific,Singapore,67 ms,5637 kB/s
8.222.235.92,2087,true,SIN,Asia Pacific,Singapore,73 ms,5635 kB/s
8.222.189.228,2053,true,SIN,Asia Pacific,Singapore,72 ms,5625 kB/s
8.222.212.172,2053,true,SIN,Asia Pacific,Singapore,69 ms,5586 kB/s
8.222.245.94,2083,true,SIN,Asia Pacific,Singapore,64 ms,5498 kB/s
8.222.208.38,443,true,SIN,Asia Pacific,Singapore,70 ms,5483 kB/s
8.222.180.242,2083,true,SIN,Asia Pacific,Singapore,66 ms,5437 kB/s
8.222.219.34,2096,true,SIN,Asia Pacific,Singapore,70 ms,5403 kB/s
8.219.72.100,2053,true,SIN,Asia Pacific,Singapore,67 ms,5362 kB/s
8.222.236.229,2053,true,SIN,Asia Pacific,Singapore,72 ms,5336 kB/s
8.222.140.87,2087,true,SIN,Asia Pacific,Singapore,74 ms,5330 kB/s
8.219.237.156,2087,true,SIN,Asia Pacific,Singapore,69 ms,5309 kB/s
8.222.224.17,2096,true,SIN,Asia Pacific,Singapore,64 ms,5307 kB/s
8.219.74.111,2087,true,SIN,Asia Pacific,Singapore,73 ms,5255 kB/s
8.219.140.1,2083,true,SIN,Asia Pacific,Singapore,65 ms,5243 kB/s
8.222.144.117,2083,true,SIN,Asia Pacific,Singapore,63 ms,5231 kB/s
8.219.122.55,2096,true,SIN,Asia Pacific,Singapore,72 ms,5193 kB/s
8.219.167.65,2083,true,SIN,Asia Pacific,Singapore,66 ms,5167 kB/s
8.222.252.150,2087,true,SIN,Asia Pacific,Singapore,75 ms,5149 kB/s
8.222.255.15,2083,true,SIN,Asia Pacific,Singapore,68 ms,5127 kB/s
8.219.167.65,2053,true,SIN,Asia Pacific,Singapore,65 ms,5061 kB/s
18.142.55.98,443,true,SIN,Asia Pacific,Singapore,73 ms,4959 kB/s
8.222.211.16,443,true,SIN,Asia Pacific,Singapore,74 ms,4944 kB/s
8.222.152.165,2053,true,SIN,Asia Pacific,Singapore,71 ms,4917 kB/s
8.222.226.15,8443,true,SIN,Asia Pacific,Singapore,72 ms,4901 kB/s
8.222.221.90,2096,true,SIN,Asia Pacific,Singapore,69 ms,4892 kB/s
8.222.128.131,443,true,SIN,Asia Pacific,Singapore,66 ms,4885 kB/s
8.222.207.208,2053,true,SIN,Asia Pacific,Singapore,69 ms,4770 kB/s
8.222.208.83,2053,true,SIN,Asia Pacific,Singapore,66 ms,4731 kB/s
8.222.254.91,443,true,SIN,Asia Pacific,Singapore,74 ms,4720 kB/s
8.222.222.64,443,true,SIN,Asia Pacific,Singapore,66 ms,4713 kB/s
8.222.180.242,443,true,SIN,Asia Pacific,Singapore,75 ms,4621 kB/s
8.219.58.64,2087,true,SIN,Asia Pacific,Singapore,67 ms,4526 kB/s
8.222.137.192,2053,true,SIN,Asia Pacific,Singapore,67 ms,4489 kB/s
8.219.1.137,2096,true,SIN,Asia Pacific,Singapore,69 ms,4456 kB/s
8.222.221.86,2053,true,SIN,Asia Pacific,Singapore,65 ms,4451 kB/s
8.222.214.231,443,true,SIN,Asia Pacific,Singapore,67 ms,4355 kB/s
8.222.221.109,8443,true,SIN,Asia Pacific,Singapore,76 ms,4336 kB/s
8.219.72.100,2096,true,SIN,Asia Pacific,Singapore,63 ms,4334 kB/s
54.169.121.88,39497,true,SIN,Asia Pacific,Singapore,67 ms,4306 kB/s
8.222.224.17,443,true,SIN,Asia Pacific,Singapore,69 ms,4285 kB/s
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,72 ms,4276 kB/s
8.222.140.87,2096,true,SIN,Asia Pacific,Singapore,71 ms,4267 kB/s
8.222.214.231,8443,true,SIN,Asia Pacific,Singapore,74 ms,4251 kB/s
8.222.164.209,2083,true,SIN,Asia Pacific,Singapore,65 ms,4241 kB/s
8.219.3.213,41074,true,SIN,Asia Pacific,Singapore,61 ms,4164 kB/s
8.222.202.163,2087,true,SIN,Asia Pacific,Singapore,67 ms,4157 kB/s
54.151.220.28,20588,true,SIN,Asia Pacific,Singapore,72 ms,4137 kB/s
8.219.241.19,2087,true,SIN,Asia Pacific,Singapore,67 ms,4077 kB/s
8.219.102.196,2087,true,SIN,Asia Pacific,Singapore,70 ms,4047 kB/s
8.219.78.1,2083,true,SIN,Asia Pacific,Singapore,69 ms,4043 kB/s
8.219.78.1,2053,true,SIN,Asia Pacific,Singapore,72 ms,4034 kB/s
8.219.142.30,2083,true,SIN,Asia Pacific,Singapore,71 ms,4024 kB/s
8.219.58.64,2083,true,SIN,Asia Pacific,Singapore,68 ms,3994 kB/s
8.222.235.92,2096,true,SIN,Asia Pacific,Singapore,70 ms,3955 kB/s
8.219.254.128,8443,true,SIN,Asia Pacific,Singapore,71 ms,3940 kB/s
8.219.254.128,2096,true,SIN,Asia Pacific,Singapore,66 ms,3938 kB/s
8.222.254.91,8443,true,SIN,Asia Pacific,Singapore,74 ms,3929 kB/s
13.229.128.204,8443,true,SIN,Asia Pacific,Singapore,60 ms,3929 kB/s
54.151.220.28,50000,true,SIN,Asia Pacific,Singapore,73 ms,3779 kB/s
8.222.138.164,2053,true,SIN,Asia Pacific,Singapore,69 ms,3759 kB/s
8.222.236.229,443,true,SIN,Asia Pacific,Singapore,69 ms,3705 kB/s
8.222.207.208,2096,true,SIN,Asia Pacific,Singapore,73 ms,3703 kB/s
8.219.122.55,8443,true,SIN,Asia Pacific,Singapore,75 ms,3679 kB/s
8.222.189.228,2096,true,SIN,Asia Pacific,Singapore,73 ms,3675 kB/s
8.222.245.94,2053,true,SIN,Asia Pacific,Singapore,74 ms,3645 kB/s
8.222.219.34,2087,true,SIN,Asia Pacific,Singapore,73 ms,3597 kB/s
8.219.2.189,2096,true,SIN,Asia Pacific,Singapore,70 ms,3583 kB/s
8.219.210.64,443,true,SIN,Asia Pacific,Singapore,63 ms,3550 kB/s
13.215.172.12,30441,true,SIN,Asia Pacific,Singapore,71 ms,3501 kB/s
8.219.237.156,2053,true,SIN,Asia Pacific,Singapore,64 ms,3460 kB/s
13.229.128.204,2053,true,SIN,Asia Pacific,Singapore,64 ms,3426 kB/s
8.222.252.150,443,true,SIN,Asia Pacific,Singapore,67 ms,3377 kB/s
8.219.2.189,2083,true,SIN,Asia Pacific,Singapore,74 ms,3354 kB/s
8.219.102.196,8443,true,SIN,Asia Pacific,Singapore,73 ms,3342 kB/s
8.222.244.123,8443,true,SIN,Asia Pacific,Singapore,67 ms,3334 kB/s
8.219.102.196,2053,true,SIN,Asia Pacific,Singapore,73 ms,3295 kB/s
8.219.105.116,2053,true,SIN,Asia Pacific,Singapore,69 ms,3277 kB/s
8.219.102.196,2083,true,SIN,Asia Pacific,Singapore,69 ms,3251 kB/s
8.222.162.31,2096,true,SIN,Asia Pacific,Singapore,74 ms,3210 kB/s
8.222.137.192,8443,true,SIN,Asia Pacific,Singapore,69 ms,3146 kB/s
8.219.103.148,8443,true,SIN,Asia Pacific,Singapore,64 ms,3128 kB/s
8.219.2.189,8443,true,SIN,Asia Pacific,Singapore,77 ms,3080 kB/s
8.222.254.91,2083,true,SIN,Asia Pacific,Singapore,72 ms,2993 kB/s
8.222.197.251,2083,true,SIN,Asia Pacific,Singapore,91 ms,2913 kB/s
8.222.164.209,2053,true,SIN,Asia Pacific,Singapore,62 ms,2898 kB/s
8.219.74.111,2083,true,SIN,Asia Pacific,Singapore,72 ms,2891 kB/s
8.222.255.15,2087,true,SIN,Asia Pacific,Singapore,70 ms,2873 kB/s
13.229.101.12,10001,true,SIN,Asia Pacific,Singapore,65 ms,2824 kB/s
54.169.64.252,3306,true,SIN,Asia Pacific,Singapore,72 ms,2808 kB/s
8.222.212.172,2083,true,SIN,Asia Pacific,Singapore,69 ms,2796 kB/s
8.222.252.150,8443,true,SIN,Asia Pacific,Singapore,67 ms,2786 kB/s
8.222.226.72,8443,true,SIN,Asia Pacific,Singapore,71 ms,2775 kB/s
8.222.214.13,2083,true,SIN,Asia Pacific,Singapore,68 ms,2769 kB/s
18.141.132.67,8443,true,SIN,Asia Pacific,Singapore,73 ms,2672 kB/s
8.219.103.47,2083,true,SIN,Asia Pacific,Singapore,65 ms,2666 kB/s
18.136.61.32,39058,true,SIN,Asia Pacific,Singapore,64 ms,2623 kB/s
8.219.105.116,2083,true,SIN,Asia Pacific,Singapore,66 ms,2614 kB/s
8.222.152.3,8443,true,SIN,Asia Pacific,Singapore,67 ms,2605 kB/s
8.222.208.83,2083,true,SIN,Asia Pacific,Singapore,70 ms,2600 kB/s
8.219.72.100,2087,true,SIN,Asia Pacific,Singapore,68 ms,2596 kB/s
8.222.253.235,2083,true,SIN,Asia Pacific,Singapore,68 ms,2578 kB/s
8.219.78.1,2087,true,SIN,Asia Pacific,Singapore,70 ms,2576 kB/s
8.222.221.86,2096,true,SIN,Asia Pacific,Singapore,69 ms,2570 kB/s
8.222.236.229,2083,true,SIN,Asia Pacific,Singapore,67 ms,2565 kB/s
8.222.221.86,2083,true,SIN,Asia Pacific,Singapore,65 ms,2561 kB/s
8.219.1.137,2087,true,SIN,Asia Pacific,Singapore,68 ms,2529 kB/s
8.219.42.72,8443,true,SIN,Asia Pacific,Singapore,74 ms,2516 kB/s
8.222.128.131,2053,true,SIN,Asia Pacific,Singapore,73 ms,2513 kB/s
8.222.193.208,2083,true,SIN,Asia Pacific,Singapore,73 ms,2466 kB/s
8.222.221.109,2087,true,SIN,Asia Pacific,Singapore,73 ms,2425 kB/s
8.222.221.109,2096,true,SIN,Asia Pacific,Singapore,78 ms,2416 kB/s
8.222.226.15,2053,true,SIN,Asia Pacific,Singapore,74 ms,2414 kB/s
8.219.122.55,2083,true,SIN,Asia Pacific,Singapore,71 ms,2382 kB/s
8.222.209.223,2096,true,SIN,Asia Pacific,Singapore,137 ms,2354 kB/s
